"Country","State","X2011","X2012","X2013","X2014","X2015"
"United States","Armed Forces Europe",2,0,0,0,1
"United States","Armed Forces Pacific",1,1,1,1,0
"United States","Alabama",11,13,15,14,23
"United States","Alaska",11,9,9,6,7
"United States","Arizona",20,23,22,22,18
"United States","Arkansas",55,45,44,41,44
"United States","California",62,58,50,50,56
"United States","Colorado",37,31,44,42,39
"United States","Connecticut",4,2,3,2,2
"United States","Delaware",6,4,4,4,4
"United States","District of Columbia",1,0,0,2,2
"United States","Florida",27,35,28,30,25
"United States","Georgia",25,20,10,13,23
"United States","Hawaii",6,3,3,6,6
"United States","Idaho",5,5,3,3,4
"United States","Illinois",459,484,500,521,568
"United States","Indiana",29,34,30,36,29
"United States","Iowa",36,36,36,32,33
"United States","Kansas",135,146,130,114,96
"United States","Kentucky",22,19,23,16,17
"United States","Louisiana",13,9,9,7,7
"United States","Maine",0,0,1,1,2
"United States","Maryland",12,10,16,16,20
"United States","Massachusetts",15,12,14,12,11
"United States","Michigan",27,29,25,25,22
"United States","Minnesota",19,20,16,20,23
"United States","Mississippi",7,5,2,6,6
"United States","Missouri",5058,5151,5440,5680,5986
"United States","Montana",6,5,5,5,5
"United States","Nebraska",35,34,37,37,33
"United States","Nevada",4,6,6,4,4
"United States","New Hampshire",2,2,1,2,2
"United States","New Jersey",3,6,8,8,6
"United States","New Mexico",13,7,8,12,13
"United States","New York",23,20,23,80,70
"United States","North Carolina",19,13,13,12,13
"United States","North Dakota",3,2,4,3,1
"United States","Ohio",28,22,22,22,24
"United States","Oklahoma",51,54,44,54,64
"United States","Oregon",8,7,10,16,11
"United States","Pennsylvania",27,33,37,42,37
"United States","Rhode Island",0,1,1,2,1
"United States","South Carolina",10,9,11,11,12
"United States","South Dakota",2,5,5,5,4
"United States","Tennessee",17,16,19,21,14
"United States","Texas",139,148,128,135,147
"United States","Utah",8,4,10,12,5
"United States","Vermont",1,1,2,2,1
"United States","Virginia",15,18,20,12,18
"United States","Washington",52,52,45,59,62
"United States","West Virginia",5,8,9,7,8
"United States","Wisconsin",17,20,22,24,22
"United States","Wyoming",3,6,4,4,2
"American Samoa","",1,1,1,0,0
"Angola","",0,0,0,1,1
"Australia","",2,4,3,1,4
"Austria","",0,1,0,0,0
"Bahamas","",1,0,0,0,0
"Bangladesh","",4,5,5,8,11
"Belgium","",1,0,0,0,0
"Bolivia","",1,1,0,0,1
"Botswana","",35,27,41,50,44
"Brazil","",2,14,15,8,8
"Canada","",6,3,9,6,7
"Chile","",0,0,1,1,0
"China","",195,270,322,338,358
"Colombia","",8,7,5,3,3
"Cote D'Ivoire","",0,0,1,1,1
"Czech Republic","",0,0,0,0,1
"Dominican Republic","",1,1,1,2,3
"East Timor","",0,0,1,1,0
"Egypt","",1,1,4,7,6
"Eritrea","",0,0,0,0,0
"Ethiopia","",1,1,2,3,2
"Finland","",1,4,1,2,1
"France","",1,1,1,2,2
"Georgia","",2,2,2,4,3
"Germany","",5,6,6,6,6
"Ghana","",6,9,8,9,11
"Greece","",0,0,0,1,1
"Guam","",1,1,1,1,0
"Guatemala","",1,1,1,1,1
"Haiti","",0,1,0,0,0
"Hong Kong","",1,1,0,2,1
"Iceland","",0,0,0,0,1
"India","",270,230,306,393,352
"Indonesia","",1,1,0,0,0
"Iran (Islamic Republic Of)","",32,39,40,36,38
"Iraq","",0,13,30,38,46
"Israel","",1,0,0,0,1
"Italy","",2,3,3,2,5
"Japan","",1,1,0,0,0
"Jordan","",3,3,4,3,5
"Kazakhstan","",1,0,0,0,0
"Kenya","",2,1,0,0,0
"Korea, Republic of","",5,8,10,8,9
"Kuwait","",11,15,16,20,18
"Latvia","",0,0,0,1,1
"Libyan Arab Jamahiriya","",22,20,25,22,19
"Lithuania","",0,0,0,0,1
"Malaysia","",15,9,5,9,10
"Maldives","",1,0,1,12,13
"Malta","",0,0,1,1,1
"Mexico","",4,5,8,9,5
"Mongolia","",1,0,0,0,0
"Nepal","",5,7,9,15,14
"New Zealand","",0,0,0,0,1
"Nigeria","",13,12,15,13,9
"Norway","",0,0,0,0,2
"Oman","",1,2,2,10,0
"Pakistan","",6,5,11,1,10
"Panama","",0,1,1,0,0
"Peru","",2,3,2,0,0
"Poland","",1,0,0,0,0
"Portugal","",0,0,0,1,0
"Puerto Rico","",0,1,2,5,4
"Russian Federation","",3,5,4,4,3
"Saudi Arabia","",121,89,100,105,80
"Singapore","",0,1,0,0,0
"Slovenia","",1,1,1,1,0
"South Africa","",1,1,0,0,0
"Spain","",3,2,5,3,2
"Sri Lanka","",84,69,85,119,67
"Sudan","",0,0,0,0,1
"Suriname","",0,0,0,1,2
"Sweden","",0,0,1,1,1
"Switzerland","",1,1,1,0,0
"Taiwan","",6,4,2,2,4
"Tanzania, United Republic of","",0,0,1,1,1
"Thailand","",6,2,14,12,12
"Trinidad and Tobago","",1,1,0,0,0
"Tunisia","",0,1,0,0,0
"Turkey","",13,15,14,12,10
"Uganda","",1,1,0,0,0
"Ukraine","",0,1,1,1,1
"United Arab Emirates","",0,1,1,4,5
"United Kingdom","",2,2,1,1,1
"Venezuela","",2,2,2,1,1
"Viet Nam","",2,2,2,3,1
"Yugoslavia","",1,1,0,0,0
"Zimbabwe","",1,1,1,1,3
